RL_Reward,RL_Final_Inventory
38.13999999999996,0
60.70500000000002,1
36.09500000000005,1
35.16999999999988,1
63.75000000000008,2
54.749999999999964,-2
63.609999999999985,0
58.51499999999999,1
41.40000000000002,0
66.99999999999984,0
27.029999999999934,-1
29.645000000000056,-1
25.780000000000044,0
40.20499999999998,1
63.26999999999991,0
46.94000000000017,0
44.46000000000009,0
32.82999999999993,0
28.74999999999999,1
20.979999999999993,1
78.57000000000001,0
58.02999999999993,0
34.48499999999998,-1
69.92999999999974,-2
43.30000000000012,1
36.97000000000009,1
58.22,0
38.320000000000036,0
38.53999999999999,0
30.259999999999934,0
14.930000000000021,0
37.869999999999976,0
34.67500000000003,-1
44.26999999999993,-1
65.41000000000011,1
49.48999999999997,0
28.409999999999997,0
88.2100000000001,0
43.99499999999991,-1
66.91000000000001,0
43.314999999999934,1
91.20500000000014,-1
50.85999999999986,0
32.2900000000001,2
26.390000000000015,0
80.21500000000012,3
20.619999999999994,1
95.63500000000029,1
30.389999999999958,0
26.82500000000005,1
59.585000000000115,-1
73.24000000000002,1
21.970000000000084,0
27.534999999999958,1
35.77999999999996,0
93.03000000000023,0
27.820000000000068,1
30.609999999999957,0
65.70999999999997,-2
50.074999999999996,1
46.71,2
109.94000000000001,0
53.44000000000006,-1
67.27999999999989,0
31.950000000000003,0
50.86500000000009,-1
73.64999999999984,0
52.169999999999916,0
28.910000000000124,0
47.42999999999988,0
36.085,1
51.66000000000013,2
49.63999999999993,0
59.794999999999995,-1
33.81999999999996,2
21.000000000000085,0
57.529999999999916,0
53.90999999999988,0
44.56000000000007,0
33.45000000000001,1
30.475000000000012,-1
46.25499999999992,1
90.78500000000001,1
35.67500000000016,1
31.58999999999998,1
35.15000000000004,1
71.27000000000002,-1
29.829999999999984,0
42.25000000000008,1
52.12999999999999,1
52.040000000000205,0
37.90499999999998,1
35.75999999999999,0
46.30999999999991,2
28.715000000000007,1
47.43999999999985,1
22.750000000000078,2
37.32999999999988,1
31.220000000000017,1
34.02999999999997,0
32.949999999999946,0
59.07999999999992,1
67.65499999999999,-1
37.755000000000045,1
52.29499999999998,1
34.37,1
52.440000000000076,1
72.43999999999994,0
73.11999999999995,1
78.27999999999993,2
88.19000000000013,0
29.670000000000062,1
42.51000000000014,1
58.28999999999994,1
64.31499999999978,1
32.60999999999997,0
36.75999999999999,0
34.49999999999994,0
47.660000000000096,0
43.339999999999975,0
24.645,1
49.080000000000126,0
53.85499999999998,-1
44.89000000000004,0
28.379999999999967,0
60.15999999999994,0
46.779999999999944,0
63.83000000000007,-3
66.25999999999995,0
58.33499999999999,1
50.94000000000006,1
47.23999999999997,0
43.12499999999991,1
57.31000000000003,0
40.38999999999997,0
53.290000000000006,0
42.84500000000006,1
60.62999999999991,0
56.109999999999964,1
47.589999999999925,-1
42.735000000000035,1
74.64000000000013,0
52.62000000000003,0
54.7300000000001,0
17.330000000000002,1
47.04000000000006,0
32.999999999999844,0
27.91000000000007,1
55.72999999999985,0
67.84,0
23.72999999999998,-1
45.7549999999999,-1
43.769999999999925,0
58.94999999999977,1
22.75000000000007,0
56.50000000000003,0
44.09000000000004,1
49.98000000000001,1
43.92000000000009,0
63.12999999999991,-3
61.06999999999984,0
44.85499999999998,1
30.934999999999977,-1
33.53000000000002,2
46.88999999999998,2
47.58999999999988,2
73.30499999999991,-1
69.51500000000009,1
38.619999999999884,1
58.59999999999988,0
42.33999999999996,0
73.84999999999995,1
14.919999999999979,-1
38.399999999999984,-1
46.360000000000035,-1
54.55000000000009,2
26.910000000000156,1
49.575000000000095,1
28.19999999999996,0
71.21000000000005,0
32.22999999999998,-1
28.900000000000095,1
50.84000000000005,2
32.840000000000046,0
25.159999999999958,1
26.160000000000043,1
37.87999999999998,0
28.119999999999923,1
53.85000000000005,0
48.66500000000001,1
38.58999999999998,1
46.029999999999994,2
51.39999999999996,0
25.270000000000053,0
50.72999999999986,0
48.89500000000012,1
31.954999999999973,-1
45.04499999999998,-1
46.930000000000085,2
39.10999999999988,1
45.23999999999996,1
62.07000000000016,1
61.39499999999989,1
48.65000000000002,0
34.620000000000026,-1
37.520000000000145,2
55.41500000000001,-1
59.14999999999998,0
57.329999999999835,-2
77.12500000000004,-1
32.05000000000001,0
35.27000000000001,0
60.139999999999894,2
25.200000000000074,0
36.67999999999998,-3
58.16499999999983,-1
32.91000000000007,0
58.98000000000006,0
45.32000000000003,1
78.97500000000012,1
65.67500000000008,-1
35.41500000000001,1
50.250000000000014,0
54.43999999999998,0
45.669999999999845,0
53.18500000000011,-1
59.08500000000004,1
45.20500000000006,-1
52.05000000000003,-2
43.89000000000001,2
42.484999999999964,1
78.66999999999996,-1
28.17999999999995,0
56.164999999999985,1
46.300000000000026,0
69.44000000000023,0
53.79500000000002,1
26.490000000000013,1
67.12999999999995,1
18.694999999999997,1
37.719999999999914,0
28.580000000000062,2
